parameter_index,smirks,template_value,fitted_value,trained,molecule_count,nonzero_atom_count
201,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#17:2]",-0.0015,-0.13965305007690396,True,2,10
202,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#35:2]",0.0838,-0.11359765243287534,True,2,6
203,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#53:2]",0.2067,0.0,False,0,0
204,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#1:2]",-0.0865,-0.3289126247798577,True,3785,15243
205,"[#7X4,#7X3,#7X2-1:1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",-0.1185,0.19070516801736107,True,40,82
206,"[#7X4,#7X3,#7X2-1:1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",-0.0302,0.05898878443050627,True,220,458
207,"[#7X4,#7X3,#7X2-1:1]-[#7X4,#7X3,#7X2-1:2]",0.0,0.0035576609366899034,True,201,425
208,"[#7X4,#7X3,#7X2-1:1]-[#7X2+0,#7X2-1ar5:2]",0.0867,0.15406702668746913,True,399,835
209,"[#7X4,#7X3,#7X2-1:1]-[#8X1,#8X2:2]",-0.0517,-0.03801945013283576,True,182,412
210,"[#7X4,#7X3,#7X2-1:1]-[#16X4:2]",0.3359,-0.05171796180639175,True,624,1329
211,"[#7X4,#7X3,#7X2-1:1]-[#16X3:2]",0.3531,-0.07943606402748625,True,9,19
212,"[#7X4,#7X3,#7X2-1:1]-[#16X1,#16X2:2]",0.0757,-0.07078732835615735,True,30,65
213,"[#7X4,#7X3,#7X2-1:1]-[#14X4:2]",0.1037,0.0,False,0,0
214,"[#7X4,#7X3,#7X2-1:1]-[#9:2]",-0.0204,0.12179937250277903,True,10,41
215,"[#7X4,#7X3,#7X2-1:1]-[#17:2]",-0.0369,0.009728949157071658,True,11,35
216,"[#7X4,#7X3,#7X2-1:1]-[#35:2]",0.0876,0.026829547018335707,True,4,10
217,"[#7X4,#7X3,#7X2-1:1]-[#53:2]",0.1898,0.0,False,0,0
218,"[#7X4,#7X3,#7X2-1:1]-[#1:2]",-0.2048,-0.37563353996750587,True,4166,12717
219,"[#7X1,#7X2+1:1]-[#1:2]",-0.1634,0.0,False,0,0
220,"[#7X1,#7X2+1:1]=[#7X1,#7X2+1:2]",0.0,0.8919188632694691,True,72,155
221,"[#7X1,#7X2+1:1]#[#7X1,#7X2+1:2]",0.0,-0.6309722495384892,True,10,20
222,"[#7X1,#7X2+1:1]-[#16X1,#16X2:2]",0.1473,0.0,False,0,0
223,"[#7X2+0,#7X2-1ar5:1]-[#7X1,#7X2+1:2]",0.1043,0.0,False,0,0
224,"[#7X2+0,#7X2-1ar5:1]-[#7X2+0,#7X2-1ar5:2]",0.0,-0.005203246114759155,True,608,1236
225,"[#7X2+0,#7X2-1ar5:1]-[#8X1,#8X2:2]",-0.0985,-0.10150228325476846,True,576,1240
226,"[#7X2+0,#7X2-1ar5:1]-[#16X4:2]",0.2714,-0.1282709170934315,True,52,108
227,"[#7X2+0,#7X2-1ar5:1]-[#16X3:2]",0.1731,-0.08653297736396909,True,4,9
228,"[#7X2+0,#7X2-1ar5:1]-[#16X1,#16X2:2]",0.0315,-0.21707300457280973,True,127,286
229,"[#7X2+0,#7X2-1ar5:1]-[#14X4:2]",0.115,0.0,False,0,0
230,"[#7X2+0,#7X2-1ar5:1]-[#9:2]",-0.0554,-0.0094172412683588,True,2,6
231,"[#7X2+0,#7X2-1ar5:1]-[#17:2]",-0.0603,-0.03497050308532735,True,3,10
232,"[#7X2+0,#7X2-1ar5:1]-[#35:2]",0.0192,-0.07837634161273682,True,2,6
233,"[#7X2+0,#7X2-1ar5:1]-[#53:2]",0.1171,0.0,False,0,0
234,"[#7X2+0,#7X2-1ar5:1]-[#1:2]",-0.2444,-0.39786296903985413,True,279,612
235,"[#7X2+0,#7X2-1ar5:1]=[#7X1,#7X2+1:2]",0.004,-0.3288371269737675,True,55,122
236,"[#7X2+0,#7X2-1ar5:1]=[#7X2+0,#7X2-1ar5:2]",0.0,-0.0512936083097259,True,728,1504
237,"[#7X2+0,#7X2-1ar5:1]=[#8X1,#8X2:2]",-0.0467,0.15454277653049972,True,119,268
238,"[#7X2+0,#7X2-1ar5:1]=[#16X4:2]",0.4265,-0.44330390630701016,True,18,37
239,"[#7X2+0,#7X2-1ar5:1]=[#16X3:2]",0.3764,-0.6979137694936126,True,4,8
240,"[#7X2+0,#7X2-1ar5:1]=[#16X1,#16X2:2]",0.1684,-0.40714063993364974,True,4,10
241,"[#7X2+0,#7X2-1ar5:1]:[#7X2+0,#7X2-1ar5:2]",0.0,0.0,False,0,0
242,"[#7X2+0,#7X2-1ar5:1]:[#8X1,#8X2:2]",-0.0723,0.0,False,0,0
243,"[#7X2+0,#7X2-1ar5:1]:[#16X1,#16X2:2]",0.0419,0.0,False,0,0
244,"[#8X1,#8X2:1]-[#8X1,#8X2:2]",0.0,-0.005010685457420625,True,61,148
245,"[#8X1,#8X2:1]-[#16X4:2]",0.2093,-0.0979915671781695,True,213,551
246,"[#8X1,#8X2:1]-[#16X3:2]",0.2152,-0.07186381821539842,True,18,44
247,"[#8X1,#8X2:1]-[#16X1,#16X2:2]",0.0442,-0.1085398267264027,True,8,20
248,"[#8X1,#8X2:1]-[#14X4:2]",0.0083,0.0,False,0,0
249,"[#8X1,#8X2:1]-[#9:2]",0.0375,0.0,False,0,0
250,"[#8X1,#8X2:1]-[#17:2]",0.0014,0.0,False,0,0
251,"[#8X1,#8X2:1]-[#35:2]",0.0699,0.0,False,0,0
252,"[#8X1,#8X2:1]-[#53:2]",0.1712,0.0,False,0,0
